route_long_name,"Str. Bucium - Str. Unirii"
service_name,Sambata
service_start,12.10.2024
in_stop_name,"Disp. Clabucet"
out_stop_name,"Snagov Nord"
05:22,05:30
05:34,05:40
05:46,05:52
05:58,06:04
06:10,06:16
06:22,06:28
06:34,06:40
06:46,06:47
06:58,06:54
07:10,07:04
07:20,07:16
07:30,07:28
07:40,07:40
07:50,07:52
08:00,08:02
08:10,08:12
08:20,08:22
08:30,08:32
08:40,08:42
08:50,08:52
09:00,09:02
09:10,09:12
09:20,09:22
09:30,09:32
09:40,09:42
09:50,09:52
10:00,10:02
10:10,10:12
10:20,10:22
10:30,10:32
10:40,10:42
10:50,10:52
11:00,11:02
11:10,11:12
11:20,11:22
11:30,11:32
11:40,11:42
11:50,11:52
12:00,12:02
12:10,12:12
12:20,12:22
12:30,12:32
12:40,12:42
12:50,12:52
13:00,13:02
13:10,13:12
13:20,13:22
13:30,13:32
13:40,13:42
13:50,13:52
14:00,14:02
14:10,14:12
14:20,14:22
14:30,14:32
14:40,14:42
14:50,14:52
15:00,15:02
15:10,15:12
15:20,15:22
15:30,15:32
15:40,15:42
15:50,15:52
16:00,16:02
16:10,16:12
16:20,16:22
16:30,16:32
16:40,16:42
16:50,16:52
17:00,17:02
17:10,17:12
17:20,17:22
17:30,17:32
17:40,17:42
17:50,17:52
18:00,18:02
18:10,18:12
18:20,18:22
18:30,18:32
18:40,18:42
18:50,18:52
19:00,19:02
19:10,19:12
19:20,19:22
19:30,19:32
19:40,19:42
19:50,19:52
20:00,20:02
20:10,20:12
20:22,20:22
20:34,20:32
20:45,20:42
20:56,20:53
21:06,21:04
21:17,21:17
21:28,21:30
21:39,21:44
21:50,21:58
22:02,22:09
22:15,22:20
22:30,22:30





